,n_features,val,tst
0,2.0,0.31415343915343913,0.26
1,3.0,0.5491005291005291,0.3742857142857143
2,4.0,0.6314285714285715,0.47619047619047616
3,5.0,0.8518518518518519,0.6190476190476191
4,6.0,0.8823280423280423,0.7619047619047619
5,7.0,0.9044708994708994,0.8571428571428571
6,8.0,0.9063227513227513,0.8571428571428571
7,9.0,0.9062962962962963,0.8571428571428571
8,10.0,0.9087830687830688,0.8571428571428571
9,11.0,0.9060317460317461,0.8571428571428571
10,12.0,0.9082010582010582,0.8571428571428571
11,13.0,0.9061111111111111,0.8571428571428571
